instant,dateday,season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
1,7/3/2011,3,0,7,17,0,0,0,3,0.8,0.7424,0.49,0.8507,181,177,358
2,7/3/2011,3,0,7,18,0,0,0,3,0.8,0.7424,0.49,0.8507,74,107,181
3,8/27/2011,3,0,8,17,0,6,0,3,0.64,0.5758,0.89,0.8358,2,14,16
4,2/25/2011,1,0,2,15,0,5,1,1,0.46,0.4545,0.41,0.806,5,50,55
5,2/24/2012,1,1,2,21,0,5,1,1,0.42,0.4242,0.35,0.806,1,151,152
6,2/15/2011,1,0,2,1,0,2,1,1,0.3,0.2424,0.42,0.7761,0,5,5
7,2/19/2011,1,0,2,15,0,6,0,1,0.44,0.4394,0.16,0.7463,84,87,171
8,2/25/2011,1,0,2,17,0,5,1,1,0.32,0.2727,0.49,0.7463,8,181,189
9,2/12/2012,1,1,2,4,0,0,0,2,0.1,0.0455,0.46,0.7164,0,1,1
10,4/9/2012,2,1,4,12,0,1,1,1,0.54,0.5152,0.28,0.7164,94,186,280
11,2/15/2011,1,0,2,2,0,2,1,1,0.28,0.2273,0.41,0.6866,1,2,3
12,2/12/2012,1,1,2,3,0,0,0,2,0.1,0.0455,0.46,0.6866,0,14,14
13,2/24/2012,1,1,2,23,0,5,1,1,0.38,0.3939,0.37,0.6866,10,76,86
14,3/8/2012,1,1,3,15,0,4,1,1,0.64,0.6212,0.38,0.6866,24,161,185
15,3/26/2012,2,1,3,13,0,1,1,1,0.48,0.4697,0.29,0.6866,79,222,301
16,2/14/2011,1,0,2,15,0,1,1,1,0.56,0.5303,0.21,0.6567,19,71,90
17,2/14/2011,1,0,2,22,0,1,1,1,0.34,0.2879,0.46,0.6567,1,44,45
18,2/19/2011,1,0,2,9,0,6,0,1,0.4,0.4091,0.16,0.6567,18,37,55
19,2/19/2011,1,0,2,14,0,6,0,1,0.46,0.4545,0.15,0.6567,102,94,196
20,1/3/2012,1,1,1,13,0,2,1,1,0.18,0.1212,0.34,0.6567,5,68,73
21,2/11/2012,1,1,2,18,0,6,0,2,0.22,0.1818,0.47,0.6567,3,105,108
22,2/25/2012,1,1,2,12,0,6,0,1,0.32,0.2727,0.29,0.6567,41,217,258
23,3/5/2012,1,1,3,18,0,1,1,3,0.28,0.2273,0.55,0.6567,12,363,375
24,3/8/2012,1,1,3,17,0,4,1,1,0.62,0.6212,0.38,0.6567,52,545,597
25,12/22/2012,1,1,12,12,0,6,0,1,0.3,0.2576,0.36,0.6567,18,128,146
26,12/30/2012,1,1,12,13,0,0,0,1,0.3,0.2576,0.36,0.6567,49,120,169
27,2/19/2011,1,0,2,16,0,6,0,1,0.44,0.4394,0.16,0.6418,39,81,120
28,3/23/2011,2,0,3,20,0,3,1,3,0.36,0.303,0.87,0.6418,3,72,75
29,8/7/2011,3,0,8,17,0,0,0,3,0.74,0.7121,0.74,0.6418,63,131,194
30,12/7/2011,4,0,12,19,0,3,1,3,0.34,0.2879,0.87,0.6418,2,31,33
31,12/7/2011,4,0,12,20,0,3,1,3,0.34,0.2879,0.87,0.6418,1,25,26
32,2/11/2012,1,1,2,21,0,6,0,1,0.14,0.0758,0.43,0.6418,5,43,48
33,2/12/2012,1,1,2,12,0,0,0,1,0.14,0.0758,0.39,0.6418,7,133,140
34,3/8/2012,1,1,3,13,0,4,1,2,0.6,0.6212,0.49,0.6418,35,198,233
35,3/8/2012,1,1,3,14,0,4,1,2,0.62,0.6212,0.43,0.6418,48,155,203
36,3/8/2012,1,1,3,16,0,4,1,2,0.62,0.6212,0.41,0.6418,37,305,342
37,3/26/2012,2,1,3,16,0,1,1,1,0.48,0.4697,0.25,0.6418,60,245,305
38,9/18/2012,3,1,9,10,0,2,1,3,0.68,0.6364,0.79,0.6418,30,130,160
39,9/18/2012,3,1,9,11,0,2,1,2,0.68,0.6364,0.79,0.6418,36,115,151
40,11/13/2012,4,1,11,1,0,2,1,3,0.44,0.4394,0.88,0.6418,0,5,5
41,2/14/2011,1,0,2,17,0,1,1,1,0.46,0.4545,0.33,0.6119,25,218,243
42,2/14/2011,1,0,2,18,0,1,1,1,0.4,0.4091,0.4,0.6119,11,194,205
43,2/19/2011,1,0,2,13,0,6,0,1,0.44,0.4394,0.16,0.6119,52,103,155
44,2/19/2011,1,0,2,17,0,6,0,1,0.42,0.4242,0.19,0.6119,36,91,127
45,2/25/2011,1,0,2,14,0,5,1,3,0.56,0.5303,0.56,0.6119,14,71,85
46,2/25/2011,1,0,2,20,0,5,1,1,0.3,0.2576,0.49,0.6119,2,60,62
47,2/28/2011,1,0,2,19,0,1,1,3,0.44,0.4394,0.88,0.6119,1,79,80
48,2/28/2011,1,0,2,20,0,1,1,3,0.44,0.4394,0.88,0.6119,0,45,45
49,3/6/2011,1,0,3,21,0,0,0,3,0.24,0.1818,0.93,0.6119,1,6,7
50,4/4/2011,2,0,4,17,0,1,1,1,0.74,0.6515,0.23,0.6119,83,283,366
51,5/3/2011,2,0,5,13,0,2,1,2,0.7,0.6515,0.58,0.6119,50,144,194
52,8/28/2011,3,0,8,10,0,0,0,1,0.7,0.6515,0.61,0.6119,27,115,142
53,9/15/2011,3,0,9,18,0,4,1,3,0.48,0.4697,0.67,0.6119,22,222,244
54,1/13/2012,1,1,1,11,0,5,1,1,0.24,0.1818,0.38,0.6119,12,102,114
55,2/25/2012,1,1,2,11,0,6,0,1,0.3,0.2576,0.39,0.6119,23,187,210
56,3/4/2012,1,1,3,18,0,0,0,1,0.32,0.2727,0.33,0.6119,20,164,184
57,3/9/2012,1,1,3,19,0,5,1,1,0.42,0.4242,0.28,0.6119,12,232,244
58,3/26/2012,2,1,3,15,0,1,1,1,0.48,0.4697,0.29,0.6119,66,157,223
59,7/26/2012,3,1,7,21,0,4,1,1,0.8,0.7424,0.49,0.6119,35,236,271
60,7/26/2012,3,1,7,22,0,4,1,1,0.8,0.7424,0.49,0.6119,33,201,234
61,11/24/2012,4,1,11,2,0,6,0,1,0.32,0.2727,0.39,0.6119,10,22,32
62,11/24/2012,4,1,11,12,0,6,0,2,0.3,0.2576,0.36,0.6119,53,146,199
63,12/22/2012,1,1,12,8,0,6,0,1,0.26,0.2121,0.44,0.6119,0,29,29
64,1/12/2011,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55
65,1/21/2011,1,0,1,12,0,5,1,1,0.22,0.1818,0.27,0.5821,11,67,78
66,1/21/2011,1,0,1,13,0,5,1,1,0.2,0.1515,0.21,0.5821,8,65,73
67,2/8/2011,1,0,2,17,0,2,1,1,0.22,0.1818,0.32,0.5821,4,172,176
68,2/18/2011,1,0,2,19,0,5,1,1,0.62,0.6212,0.29,0.5821,16,146,162
69,2/19/2011,1,0,2,8,0,6,0,1,0.38,0.3939,0.17,0.5821,9,36,45
70,2/19/2011,1,0,2,10,0,6,0,1,0.42,0.4242,0.16,0.5821,34,72,106
71,2/19/2011,1,0,2,11,0,6,0,1,0.44,0.4394,0.16,0.5821,47,76,123
72,3/7/2011,1,0,3,3,0,1,1,1,0.2,0.1515,0.8,0.5821,0,1,1
73,3/10/2011,1,0,3,19,0,4,1,3,0.44,0.4394,0,0.5821,5,51,56
74,4/5/2011,2,0,4,8,0,2,1,3,0.38,0.3939,0.87,0.5821,9,148,157
75,4/16/2011,2,0,4,12,0,6,0,2,0.46,0.4545,0.88,0.5821,6,26,32
76,4/16/2011,2,0,4,14,0,6,0,3,0.52,0.5,0.83,0.5821,14,49,63
77,4/16/2011,2,0,4,15,0,6,0,3,0.52,0.5,0.83,0.5821,16,62,78
78,4/16/2011,2,0,4,17,0,6,0,3,0.5,0.4848,0.88,0.5821,1,14,15
79,4/21/2011,2,0,4,6,0,4,1,2,0.4,0.4091,0.58,0.5821,2,73,75
80,5/5/2011,2,0,5,13,0,4,1,1,0.54,0.5152,0.3,0.5821,50,142,192
81,9/5/2011,3,0,9,22,1,1,0,2,0.6,0.5455,0.88,0.5821,15,49,64
82,10/20/2011,4,0,10,9,0,4,1,1,0.44,0.4394,0.67,0.5821,26,197,223
83,10/20/2011,4,0,10,13,0,4,1,1,0.5,0.4848,0.45,0.5821,28,136,164
84,12/26/2011,1,0,12,11,1,1,0,1,0.34,0.2879,0.46,0.5821,40,51,91
85,1/3/2012,1,1,1,16,0,2,1,1,0.14,0.0909,0.39,0.5821,7,129,136
86,1/13/2012,1,1,1,15,0,5,1,1,0.26,0.2121,0.33,0.5821,15,123,138
87,1/27/2012,1,1,1,17,0,5,1,1,0.42,0.4242,0.5,0.5821,16,406,422
88,2/12/2012,1,1,2,2,0,0,0,2,0.1,0.0606,0.58,0.5821,1,26,27
89,2/24/2012,1,1,2,22,0,5,1,1,0.4,0.4091,0.37,0.5821,4,102,106
90,2/25/2012,1,1,2,16,0,6,0,1,0.32,0.2727,0.26,0.5821,32,163,195
91,2/25/2012,1,1,2,18,0,6,0,1,0.3,0.2576,0.28,0.5821,7,126,133
92,3/5/2012,1,1,3,23,0,1,1,1,0.22,0.1818,0.37,0.5821,2,29,31
93,3/26/2012,2,1,3,10,0,1,1,1,0.5,0.4848,0.36,0.5821,55,98,153
94,3/26/2012,2,1,3,11,0,1,1,1,0.48,0.4697,0.31,0.5821,47,131,178
95,4/9/2012,2,1,4,13,0,1,1,1,0.54,0.5152,0.28,0.5821,108,173,281
96,5/9/2012,2,1,5,18,0,3,1,3,0.52,0.5,0.77,0.5821,23,349,372
97,6/13/2012,2,1,6,9,0,3,1,2,0.64,0.6061,0.69,0.5821,54,298,352
98,7/16/2012,3,1,7,16,0,1,1,3,0.76,0.7273,0.66,0.5821,77,309,386
99,7/16/2012,3,1,7,17,0,1,1,3,0.76,0.7273,0.66,0.5821,86,669,755
100,9/18/2012,3,1,9,9,0,2,1,2,0.66,0.6061,0.83,0.5821,27,266,293
101,9/18/2012,3,1,9,13,0,2,1,2,0.7,0.6667,0.74,0.5821,17,97,114
102,10/10/2012,4,1,10,19,0,3,1,2,0.56,0.5303,0.46,0.5821,32,534,566
103,12/21/2012,1,1,12,6,0,5,1,2,0.34,0.2879,0.57,0.5821,4,76,80
104,12/22/2012,1,1,12,0,0,6,0,1,0.26,0.2121,0.44,0.5821,1,30,31
105,12/22/2012,1,1,12,15,0,6,0,1,0.32,0.2727,0.33,0.5821,14,139,153
106,12/30/2012,1,1,12,10,0,0,0,1,0.26,0.2121,0.41,0.5821,31,91,122
